January,3.55,0.11451612903225807,,0.86
February,3.3000000000000007,0.10645161290322583,,1.10
March,1.1600000000000001,0.03741935483870968,0.00,0.38
April,5.079999999999999,0.16387096774193546,,1.80
May,4.029999999999999,0.12999999999999998,0.00,0.77
June,4.169999999999998,0.134516129032258,,1.63
July,4.52,0.1458064516129032,,1.91
August,4.760000000000001,0.1535483870967742,,1.31
September,1.3,0.041935483870967745,,0.39
October,7.1499999999999995,0.23064516129032256,0.00,2.72
November,3.18,0.10258064516129033,,1.06
December,4.409999999999999,0.14225806451612902,0.00,1.21
